food_id,estimate_id,brand,name,menu_item,menu_source_url,menu_source_role,nutrition_status,confidence,modeled_mass_g,notes
FC002241,EST_PH_RESTAURANT_032_V1,McDonald's,"McDonald's Philippines Crispy Chicken Sandwich, sandwich only (estimate)","Crispy Chicken Sandwich, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,153,
FC002242,EST_PH_RESTAURANT_033_V1,McDonald's,"McDonald's Philippines Chicken McDo, edible chicken only (estimate)","Chicken McDo, edible chicken only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,"Rice, bones and gravy excluded."
FC002243,EST_PH_RESTAURANT_034_V1,McDonald's,"McDonald's Philippines Crispy Chicken Fillet, fillet only (estimate)","Crispy Chicken Fillet, fillet only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,Rice and gravy excluded.
FC002244,EST_PH_RESTAURANT_035_V1,McDonald's,"McDonald's Philippines Crispy Chicken Fillet Ala King, fillet and sauce only (estimate)","Crispy Chicken Fillet Ala King, fillet and sauce only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,155.5,
FC002245,EST_PH_RESTAURANT_036_V1,McDonald's,"McDonald's Philippines Mushroom Pepper Steak, patty and sauce only (estimate)","Mushroom Pepper Steak, patty and sauce only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,130,
FC002246,EST_PH_RESTAURANT_037_V1,McDonald's,"McDonald's Philippines Chicken McNuggets, without dip (estimate)","Chicken McNuggets, without dip",https://www.mcdonalds.com.ph/our-food,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,Generic nugget formulation; actual batter unknown.
FC002247,EST_PH_RESTAURANT_038_V1,McDonald's,"McDonald's Philippines Fries, without dip (estimate)","Fries, without dip",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,
FC002248,EST_PH_RESTAURANT_039_V1,McDonald's,McDonald's Philippines Hash Browns (estimate),Hash Browns,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,
FC002249,EST_PH_RESTAURANT_040_V1,McDonald's,"McDonald's Philippines Hotcakes, without syrup or butter (estimate)","Hotcakes, without syrup or butter",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,
FC002250,EST_PH_RESTAURANT_041_V1,McDonald's,"McDonald's Philippines Sausage McMuffin, sandwich only (estimate)","Sausage McMuffin, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,125.5,Plain bun and cooked ground pork proxy English muffin and seasoned sausage.
FC002251,EST_PH_RESTAURANT_042_V1,McDonald's,"McDonald's Philippines Sausage McMuffin with Egg, sandwich only (estimate)","Sausage McMuffin with Egg, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,175.5,"Plain bun, ground pork and boiled egg proxy muffin, sausage and cooked egg."
FC002252,EST_PH_RESTAURANT_043_V1,McDonald's,"McDonald's Philippines Cheesy Eggdesal, sandwich only (estimate)","Cheesy Eggdesal, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,115,Plain bun proxies pandesal.
FC002253,EST_PH_RESTAURANT_044_V1,McDonald's,"McDonald's Philippines Cheesy Eggdesal with Sausage, sandwich only (estimate)","Cheesy Eggdesal with Sausage, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,165.5,Plain bun and cooked ground pork proxy bread and seasoned sausage.
FC002254,EST_PH_RESTAURANT_045_V1,McDonald's,McDonald's Philippines Plain Sundae (estimate),Plain Sundae,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,
FC002255,EST_PH_RESTAURANT_046_V1,McDonald's,McDonald's Philippines Hot Fudge Sundae (estimate),Hot Fudge Sundae,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,120,
FC002256,EST_PH_RESTAURANT_047_V1,McDonald's,McDonald's Philippines Hot Caramel Sundae (estimate),Hot Caramel Sundae,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,120,
FC002257,EST_PH_RESTAURANT_048_V1,McDonald's,McDonald's Philippines McFlurry with Oreo (estimate),McFlurry with Oreo,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,125,Generic creme sandwich cookie proxies Oreo; not package-specific cookie values.
FC002258,EST_PH_RESTAURANT_049_V1,McDonald's,McDonald's Philippines McFlurry Strawberry with Oreo (estimate),McFlurry Strawberry with Oreo,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,145,"Generic topping and cookie formulation, no official brand ratio."
FC002259,EST_PH_RESTAURANT_050_V1,McDonald's,McDonald's Philippines McCafe Coffee McFloat (estimate),McCafe Coffee McFloat,https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,295,"Assumed coffee/ice/soft-serve ratio; weigh liquid, no density assumed."
FC002260,EST_PH_RESTAURANT_051_V1,KFC,"KFC Philippines Original Recipe Chicken, edible chicken only (estimate)","Original Recipe Chicken, edible chicken only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,"Generic flour-fried meat and skin; no bones, gravy or rice."
FC002261,EST_PH_RESTAURANT_052_V1,KFC,"KFC Philippines Zinger Burger, sandwich only (estimate)","Zinger Burger, sandwich only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,175,
FC002262,EST_PH_RESTAURANT_053_V1,KFC,"KFC Philippines Chicken Burger, sandwich only (estimate)","Chicken Burger, sandwich only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,122,
FC002263,EST_PH_RESTAURANT_054_V1,KFC,"KFC Philippines Flavor Shots, chicken bites only (estimate)","Flavor Shots, chicken bites only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,Coarse generic breaded fried-chicken proxy; breading ratio unknown.
FC002264,EST_PH_RESTAURANT_055_V1,KFC,KFC Philippines Famous Bowl (estimate),Famous Bowl,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,280,"Assumed mashed-potato, chicken, corn, cheese and gravy mixture."
FC002265,EST_PH_RESTAURANT_056_V1,KFC,"KFC Philippines Ala King Zinger Steak, fillet and sauce only (estimate)","Ala King Zinger Steak, fillet and sauce only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,177.5,
FC002266,EST_PH_RESTAURANT_057_V1,KFC,KFC Philippines Ala King Rice Bowl (estimate),Ala King Rice Bowl,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,275.5,
FC002267,EST_PH_RESTAURANT_058_V1,KFC,"KFC Philippines Spaghetti, pasta and sauce only (estimate)","Spaghetti, pasta and sauce only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,305,
FC002268,EST_PH_RESTAURANT_059_V1,KFC,KFC Philippines Mashed Potato with gravy (estimate),Mashed Potato with gravy,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,145,
FC002269,EST_PH_RESTAURANT_060_V1,KFC,KFC Philippines Buttered Corn (estimate),Buttered Corn,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,108,
FC002270,EST_PH_RESTAURANT_061_V1,KFC,KFC Philippines Mushroom Soup (estimate),Mushroom Soup,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,200,Canned mushroom soup plus assumed 1:1 water dilution; actual restaurant concentration unknown.
FC002271,EST_PH_RESTAURANT_062_V1,KFC,"KFC Philippines Zinger Double Down, sandwich only (estimate)","Zinger Double Down, sandwich only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,248,Two fillets form the sandwich; no bun. All weights assumed.
FC002272,EST_PH_RESTAURANT_063_V1,KFC,"KFC Philippines Original Recipe Double Down, sandwich only (estimate)","Original Recipe Double Down, sandwich only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,245,
FC002273,EST_PH_RESTAURANT_064_V1,KFC,"KFC Philippines AM Egg Pandesal, sandwich only (estimate)","AM Egg Pandesal, sandwich only",https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,108,Plain bun proxies pandesal.
FC002274,EST_PH_RESTAURANT_065_V1,KFC,KFC Philippines AM Steak Rice Bowl (estimate),AM Steak Rice Bowl,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,285,
FC002275,EST_PH_RESTAURANT_066_V1,KFC,KFC Philippines AM Cheese Hotdog Rice Bowl (estimate),AM Cheese Hotdog Rice Bowl,https://www.kfc.com.ph/en/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,265,
FC002276,EST_PH_RESTAURANT_067_V1,Mang Inasal,"Mang Inasal Philippines Chicken Inasal Paa, edible chicken only (estimate)","Chicken Inasal Paa, edible chicken only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,113,Whole seasoned roast proxies leg meat and skin; cut-specific composition unverified. No rice or bones.
FC002277,EST_PH_RESTAURANT_068_V1,Mang Inasal,"Mang Inasal Philippines Chicken Inasal Pecho, edible chicken only (estimate)","Chicken Inasal Pecho, edible chicken only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,113,Boiled white meat and roasted skin proxy grilled breast meat and skin; rice/bones excluded.
FC002278,EST_PH_RESTAURANT_069_V1,Mang Inasal,"Mang Inasal Philippines Pork BBQ, meat only (estimate)","Pork BBQ, meat only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,"Generic FNRI barbecue; stick, rice and dipping sauces excluded."
FC002279,EST_PH_RESTAURANT_070_V1,Mang Inasal,"Mang Inasal Philippines Spicy Pork BBQ, meat only (estimate)","Spicy Pork BBQ, meat only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,104,
FC002280,EST_PH_RESTAURANT_071_V1,Mang Inasal,"Mang Inasal Philippines Grilled Liempo, meat only (estimate)","Grilled Liempo, meat only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,108,Rice and dipping sauces excluded.
FC002281,EST_PH_RESTAURANT_072_V1,Mang Inasal,"Mang Inasal Philippines Sizzling Liempo, meat and assumed sauce only (estimate)","Sizzling Liempo, meat and assumed sauce only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,145,Sauce is a generic proxy; rice excluded.
FC002282,EST_PH_RESTAURANT_073_V1,Mang Inasal,"Mang Inasal Philippines Pork Sisig, dish only (estimate)","Pork Sisig, dish only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,135,Simplified belly/white-meat proxy; actual offal mix unknown. Rice excluded.
FC002283,EST_PH_RESTAURANT_074_V1,Mang Inasal,"Mang Inasal Philippines Bangus Sisig, dish only (estimate)","Bangus Sisig, dish only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,140,
FC002284,EST_PH_RESTAURANT_075_V1,Mang Inasal,"Mang Inasal Philippines Palabok, noodles and toppings only (estimate)","Palabok, noodles and toppings only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,308,
FC002285,EST_PH_RESTAURANT_076_V1,Mang Inasal,"Mang Inasal Philippines Lumpiang Togue, roll only (estimate)","Lumpiang Togue, roll only",https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,Generic cooked vegetable/meat egg-roll proxy; actual sprouts/wrapper ratio unknown.
FC002286,EST_PH_RESTAURANT_077_V1,Mang Inasal,Mang Inasal Philippines Extra Creamy Halo-Halo (estimate),Extra Creamy Halo-Halo,https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,310,
FC002287,EST_PH_RESTAURANT_078_V1,Mang Inasal,Mang Inasal Philippines Crema de Leche Halo-Halo (estimate),Crema de Leche Halo-Halo,https://www.manginasal.ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,330,"Assumed ice, banana and milk/flan mixture; actual toppings and dilution vary."
FC002288,EST_PH_RESTAURANT_079_V1,Chowking,"Chowking Philippines Pork Chao Fan, rice only (estimate)","Pork Chao Fan, rice only",https://www.chowking.ph/menu/allergen-declaration,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,281,"Cooked rice, egg, vegetables and pork; no siomai topping."
