estimate_id,input_name,input_value,unit,source_food_id,source_url,input_status,notes
EST_PH_DISH_001_V1,ingredient_edible_grams:FC001237,180,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_001_V1,modeled_final_edible_mass,700,g,PH_DISH_001,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_002_V1,ingredient_edible_grams:FC000384,400,g edible component in linked preparation,FC000384,https://i.fnri.dost.gov.ph/fct/library/report/3858,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_002_V1,ingredient_edible_grams:FC000099,35,g edible component in linked preparation,FC000099,https://i.fnri.dost.gov.ph/fct/library/report/4346,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_002_V1,ingredient_edible_grams:FC000615,60,g edible component in linked preparation,FC000615,https://i.fnri.dost.gov.ph/fct/library/report/4350,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_002_V1,ingredient_edible_grams:FC000070,15,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_002_V1,ingredient_edible_grams:FC001237,160,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_002_V1,modeled_final_edible_mass,670,g,PH_DISH_002,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_003_V1,ingredient_edible_grams:FC000388,400,g edible component in linked preparation,FC000388,https://i.fnri.dost.gov.ph/fct/library/report/3865,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_003_V1,ingredient_edible_grams:FC000099,35,g edible component in linked preparation,FC000099,https://i.fnri.dost.gov.ph/fct/library/report/4346,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_003_V1,ingredient_edible_grams:FC000615,60,g edible component in linked preparation,FC000615,https://i.fnri.dost.gov.ph/fct/library/report/4350,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_003_V1,ingredient_edible_grams:FC000070,15,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_003_V1,ingredient_edible_grams:FC000098,10,g edible component in linked preparation,FC000098,https://i.fnri.dost.gov.ph/fct/library/report/4268,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_003_V1,ingredient_edible_grams:FC001237,160,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_003_V1,modeled_final_edible_mass,680,g,PH_DISH_003,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_004_V1,ingredient_edible_grams:FC000382,250,g edible component in linked preparation,FC000382,https://i.fnri.dost.gov.ph/fct/library/report/3818,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_004_V1,ingredient_edible_grams:FC000384,250,g edible component in linked preparation,FC000384,https://i.fnri.dost.gov.ph/fct/library/report/3858,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_004_V1,ingredient_edible_grams:FC000099,40,g edible component in linked preparation,FC000099,https://i.fnri.dost.gov.ph/fct/library/report/4346,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_004_V1,ingredient_edible_grams:FC000615,70,g edible component in linked preparation,FC000615,https://i.fnri.dost.gov.ph/fct/library/report/4350,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_004_V1,ingredient_edible_grams:FC000070,20,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_004_V1,ingredient_edible_grams:FC001237,200,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_004_V1,modeled_final_edible_mass,830,g,PH_DISH_004,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000456,400,g edible component in linked preparation,FC000456,https://i.fnri.dost.gov.ph/fct/library/report/4112,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000099,25,g edible component in linked preparation,FC000099,https://i.fnri.dost.gov.ph/fct/library/report/4346,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000615,40,g edible component in linked preparation,FC000615,https://i.fnri.dost.gov.ph/fct/library/report/4350,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000070,15,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000333,60,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000280,100,g edible component in linked preparation,FC000280,https://i.fnri.dost.gov.ph/fct/library/report/3537,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC000098,15,g edible component in linked preparation,FC000098,https://i.fnri.dost.gov.ph/fct/library/report/4268,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,ingredient_edible_grams:FC001237,100,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_005_V1,modeled_final_edible_mass,755,g,PH_DISH_005,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC000275,400,g edible component in linked preparation,FC000275,https://i.fnri.dost.gov.ph/fct/library/report/3522,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC000099,25,g edible component in linked preparation,FC000099,https://i.fnri.dost.gov.ph/fct/library/report/4346,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC000615,30,g edible component in linked preparation,FC000615,https://i.fnri.dost.gov.ph/fct/library/report/4350,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC000070,15,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC000333,50,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC000098,15,g edible component in linked preparation,FC000098,https://i.fnri.dost.gov.ph/fct/library/report/4268,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,ingredient_edible_grams:FC001237,80,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_006_V1,modeled_final_edible_mass,615,g,PH_DISH_006,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000272,350,g edible component in linked preparation,FC000272,https://i.fnri.dost.gov.ph/fct/library/report/3512,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000388,200,g edible component in linked preparation,FC000388,https://i.fnri.dost.gov.ph/fct/library/report/3865,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000099,30,g edible component in linked preparation,FC000099,https://i.fnri.dost.gov.ph/fct/library/report/4346,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000615,40,g edible component in linked preparation,FC000615,https://i.fnri.dost.gov.ph/fct/library/report/4350,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000070,15,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000333,50,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC000098,15,g edible component in linked preparation,FC000098,https://i.fnri.dost.gov.ph/fct/library/report/4268,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,ingredient_edible_grams:FC001237,120,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_007_V1,modeled_final_edible_mass,820,g,PH_DISH_007,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000382,350,g edible component in linked preparation,FC000382,https://i.fnri.dost.gov.ph/fct/library/report/3818,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000254,300,g edible component in linked preparation,FC000254,https://i.fnri.dost.gov.ph/fct/library/report/3330,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000257,60,g edible component in linked preparation,FC000257,https://i.fnri.dost.gov.ph/fct/library/report/3374,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000317,25,g edible component in linked preparation,FC000317,https://i.fnri.dost.gov.ph/fct/library/report/5005,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000333,60,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000070,10,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000100,20,g edible component in linked preparation,FC000100,https://i.fnri.dost.gov.ph/fct/library/report/4334,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC000098,10,g edible component in linked preparation,FC000098,https://i.fnri.dost.gov.ph/fct/library/report/4268,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,ingredient_edible_grams:FC001237,900,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_008_V1,modeled_final_edible_mass,1735,g,PH_DISH_008,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC000382,350,g edible component in linked preparation,FC000382,https://i.fnri.dost.gov.ph/fct/library/report/3818,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC000254,350,g edible component in linked preparation,FC000254,https://i.fnri.dost.gov.ph/fct/library/report/3330,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC000317,25,g edible component in linked preparation,FC000317,https://i.fnri.dost.gov.ph/fct/library/report/5005,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC000333,60,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC000070,10,g edible component in linked preparation,FC000070,https://i.fnri.dost.gov.ph/fct/library/report/3363,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC000100,20,g edible component in linked preparation,FC000100,https://i.fnri.dost.gov.ph/fct/library/report/4334,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,ingredient_edible_grams:FC001237,900,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_009_V1,modeled_final_edible_mass,1715,g,PH_DISH_009,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000384,350,g edible component in linked preparation,FC000384,https://i.fnri.dost.gov.ph/fct/library/report/3858,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000548,60,g edible component in linked preparation,FC000548,https://i.fnri.dost.gov.ph/fct/library/report/3677,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000280,150,g edible component in linked preparation,FC000280,https://i.fnri.dost.gov.ph/fct/library/report/3537,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000333,70,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000272,150,g edible component in linked preparation,FC000272,https://i.fnri.dost.gov.ph/fct/library/report/3512,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000275,100,g edible component in linked preparation,FC000275,https://i.fnri.dost.gov.ph/fct/library/report/3522,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000262,100,g edible component in linked preparation,FC000262,https://i.fnri.dost.gov.ph/fct/library/report/3419,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC000100,25,g edible component in linked preparation,FC000100,https://i.fnri.dost.gov.ph/fct/library/report/4334,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,ingredient_edible_grams:FC001237,1000,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_010_V1,modeled_final_edible_mass,2005,g,PH_DISH_010,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000388,350,g edible component in linked preparation,FC000388,https://i.fnri.dost.gov.ph/fct/library/report/3865,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000548,60,g edible component in linked preparation,FC000548,https://i.fnri.dost.gov.ph/fct/library/report/3677,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000280,150,g edible component in linked preparation,FC000280,https://i.fnri.dost.gov.ph/fct/library/report/3537,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000333,70,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000272,150,g edible component in linked preparation,FC000272,https://i.fnri.dost.gov.ph/fct/library/report/3512,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000275,100,g edible component in linked preparation,FC000275,https://i.fnri.dost.gov.ph/fct/library/report/3522,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000262,100,g edible component in linked preparation,FC000262,https://i.fnri.dost.gov.ph/fct/library/report/3419,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC000100,25,g edible component in linked preparation,FC000100,https://i.fnri.dost.gov.ph/fct/library/report/4334,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,ingredient_edible_grams:FC001237,1000,g edible component in linked preparation,FC001237,https://fdc.nal.usda.gov/food-details/173647/nutrients,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_011_V1,modeled_final_edible_mass,2005,g,PH_DISH_011,,ASSUMED_MASS_BALANCE,Sum of the stated component masses; no measured cooking yield or household portion.
EST_PH_DISH_012_V1,ingredient_edible_grams:FC000454,350,g edible component in linked preparation,FC000454,https://i.fnri.dost.gov.ph/fct/library/report/4094,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_012_V1,ingredient_edible_grams:FC000548,60,g edible component in linked preparation,FC000548,https://i.fnri.dost.gov.ph/fct/library/report/3677,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_012_V1,ingredient_edible_grams:FC000280,150,g edible component in linked preparation,FC000280,https://i.fnri.dost.gov.ph/fct/library/report/3537,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
EST_PH_DISH_012_V1,ingredient_edible_grams:FC000333,70,g edible component in linked preparation,FC000333,https://i.fnri.dost.gov.ph/fct/library/report/3421,ASSUMED_RECIPE_WEIGHT,Weight is model-assumed; nutrient values are source-backed. See recipe-ingredients.csv for frozen nutrient inputs.
