recipe_id,food_id,estimate_id,name,family_alias,modeled_final_edible_mass_g,yield_status,ingredient_count,missing_nutrients,household_serving_weight_g,notes
PH_DISH_011,FC001270,EST_PH_DISH_011_V1,"Sinigang na baboy, lean shoulder, tamarind and vegetables (recipe estimate)",Pork sinigang,2005,ASSUMED_SUM_OF_COMPONENT_MASSES,9,fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_012,FC001271,EST_PH_DISH_012_V1,"Sinigang na hipon, peeled shrimp and tamarind (recipe estimate)",Shrimp sinigang,2005,ASSUMED_SUM_OF_COMPONENT_MASSES,9,fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_013,FC001272,EST_PH_DISH_013_V1,"Nilagang baka, shank, cabbage and potato (recipe estimate)",Beef nilaga,2055,ASSUMED_SUM_OF_COMPONENT_MASSES,6,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_014,FC001273,EST_PH_DISH_014_V1,"Nilagang baboy, lean shoulder and pechay (recipe estimate)",Pork nilaga,2055,ASSUMED_SUM_OF_COMPONENT_MASSES,6,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_015,FC001274,EST_PH_DISH_015_V1,"Ginisang monggo, malunggay, no meat (recipe estimate)",Ginisang munggo,1158,ASSUMED_SUM_OF_COMPONENT_MASSES,8,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_016,FC001275,EST_PH_DISH_016_V1,"Ginisang monggo, pork belly and malunggay (recipe estimate)",Ginisang munggo,1315,ASSUMED_SUM_OF_COMPONENT_MASSES,9,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_017,FC001276,EST_PH_DISH_017_V1,"Ginisang monggo, peeled shrimp and malunggay (recipe estimate)",Ginisang munggo,1320,ASSUMED_SUM_OF_COMPONENT_MASSES,9,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_018,FC001277,EST_PH_DISH_018_V1,"Ginisang monggo, canned sardines in tomato sauce (recipe estimate)",Ginisang munggo,1300,ASSUMED_SUM_OF_COMPONENT_MASSES,8,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_019,FC001278,EST_PH_DISH_019_V1,"Pinakbet, shrimp paste, no pork (recipe estimate)",Pakbet,1235,ASSUMED_SUM_OF_COMPONENT_MASSES,11,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_020,FC001279,EST_PH_DISH_020_V1,"Pinakbet, pork belly and shrimp paste (recipe estimate)",Pakbet,1425,ASSUMED_SUM_OF_COMPONENT_MASSES,12,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_021,FC001280,EST_PH_DISH_021_V1,"Ginataang kalabasa at sitaw, no meat (recipe estimate)",Squash and yardlong beans in coconut milk,1243,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_022,FC001281,EST_PH_DISH_022_V1,"Ginataang kalabasa at sitaw, peeled shrimp (recipe estimate)",Squash and yardlong beans with shrimp,1460,ASSUMED_SUM_OF_COMPONENT_MASSES,9,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_023,FC001282,EST_PH_DISH_023_V1,"Laing, boiled taro leaves and coconut milk, no meat (recipe estimate)",Taro leaves in coconut milk,858,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_024,FC001283,EST_PH_DISH_024_V1,"Laing, boiled taro leaves, pork belly and coconut milk (recipe estimate)",Taro leaves with pork,1075,ASSUMED_SUM_OF_COMPONENT_MASSES,9,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_025,FC001284,EST_PH_DISH_025_V1,"Ginisang sayote, white chicken meat (recipe estimate)",Sauteed chayote with chicken,1010,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_026,FC001285,EST_PH_DISH_026_V1,"Ginisang sayote, egg (recipe estimate)",Sauteed chayote with egg,928,ASSUMED_SUM_OF_COMPONENT_MASSES,8,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_027,FC001286,EST_PH_DISH_027_V1,"Ginisang ampalaya, egg and tomato (recipe estimate)",Bitter melon with egg,848,ASSUMED_SUM_OF_COMPONENT_MASSES,7,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_028,FC001287,EST_PH_DISH_028_V1,"Ginisang upo, peeled shrimp (recipe estimate)",Bottle gourd with shrimp,1010,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_029,FC001288,EST_PH_DISH_029_V1,"Ginisang pechay, tofu (recipe estimate)",Pechay with tokwa,915,ASSUMED_SUM_OF_COMPONENT_MASSES,7,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_030,FC001289,EST_PH_DISH_030_V1,"Tortang talong, egg, no meat (recipe estimate)",Eggplant omelette,568,ASSUMED_SUM_OF_COMPONENT_MASSES,5,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_031,FC001290,EST_PH_DISH_031_V1,"Tortang talong, ground pork and egg (recipe estimate)",Eggplant omelette with pork,768,ASSUMED_SUM_OF_COMPONENT_MASSES,6,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_032,FC001291,EST_PH_DISH_032_V1,"Giniling na baka, 90 percent lean beef, tomato and potato (recipe estimate)",Beef giniling,1160,ASSUMED_SUM_OF_COMPONENT_MASSES,9,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_033,FC001292,EST_PH_DISH_033_V1,"Giniling na baboy, tomato and potato (recipe estimate)",Pork giniling,1160,ASSUMED_SUM_OF_COMPONENT_MASSES,9,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_034,FC001293,EST_PH_DISH_034_V1,"Menudong baboy, lean shoulder and liver (recipe estimate)",Pork menudo,1370,ASSUMED_SUM_OF_COMPONENT_MASSES,11,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_035,FC001294,EST_PH_DISH_035_V1,"Afritadang manok, white meat (recipe estimate)",Chicken afritada,1365,ASSUMED_SUM_OF_COMPONENT_MASSES,10,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_036,FC001295,EST_PH_DISH_036_V1,"Afritadang baboy, lean shoulder (recipe estimate)",Pork afritada,1365,ASSUMED_SUM_OF_COMPONENT_MASSES,10,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_037,FC001296,EST_PH_DISH_037_V1,"Mechadong baka, lean chuck, unlarded (recipe estimate)",Beef mechado,1445,ASSUMED_SUM_OF_COMPONENT_MASSES,11,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_038,FC001297,EST_PH_DISH_038_V1,"Kalderetang baka, lean chuck, pork liver and cheese (recipe estimate)",Beef caldereta,1545,ASSUMED_SUM_OF_COMPONENT_MASSES,12,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_039,FC001298,EST_PH_DISH_039_V1,"Kare-kare, lean beef and tripe, peanut, no bagoong on side (recipe estimate)",Beef kare kare,1593,ASSUMED_SUM_OF_COMPONENT_MASSES,11,sugar_g_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
