parent_food_id,variant_food_id,selection_label,relationship,notes
FC000087,FC000125,"Avocado, green",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000087,FC000126,"Avocado, red",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000095,FC000127,"Milk, pwdr, filled, inst",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000095,FC000128,"Milk, pwdr, full cream",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000095,FC000129,"Milk, pwdr, non-fat, inst",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000095,FC000130,"Milk, pwdr, skim",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000015,FC000131,"Noodles, wheat, canton, dry",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000015,FC000132,"Noodles, egg, cooked, enriched, with added salt",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000015,FC000133,"Noodles, egg, cooked, unenriched, with added salt",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000034,FC000134,"Beef, ground, 90% lean meat / 10% fat, raw",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000034,FC000135,"Beef, ground, 80% lean meat / 20% fat, raw",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000034,FC000136,"Beef, ground, 90% lean meat / 10% fat, crumbles, cooked, pan-browned",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000034,FC000137,"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000040,FC000138,"Pork, fresh, ground, raw",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000040,FC000139,"Pork, fresh, ground, cooked",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000052,FC000140,"Fish, tuna, fresh, skipjack, raw",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000052,FC000141,"Fish, tuna, skipjack, fresh, cooked, dry heat",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000066,FC000142,"Cabbage, chinese (pak-choi), raw",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000066,FC000143,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000097,FC000144,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000097,FC000145,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000100,FC000146,"Sauce, fish, ready-to-serve",EXPLICIT_SELECTION_REQUIRED,"Explicit USDA variant. Cooked egg noodles are not asserted to be Filipino canton. Generic ground pork is the USDA reference composition, not a known fat percentage."
FC000015,FC000147,"Canton noodles, cooked in water, 2.5x dry-weight yield (estimate)",EXPLICIT_SELECTION_REQUIRED,Assumed-yield wheat canton estimate; not an exact egg-noodle identity match.
